VK ID;ПОЛ;ДАТА РОЖДЕНИЯ;ССЫЛКА НА ПАРТНЁРА;
VK ID;ПОЛ;ДАТА РОЖДЕНИЯ;ССЫЛКА НА ПАРТНЁРА;
1912;Ж;14.5.1989;https://vk.com/id907683;
7216;Ж;19.10.1987;https://vk.com/id34783992;
11865;Ж;30.3.1986;https://vk.com/id115116;
13966;Ж;3.6.1988;https://vk.com/id498703;
14024;Ж;12.7.1988;https://vk.com/id1346014;
15019;Ж;6.5.1990;https://vk.com/id889385;
16507;Ж;27.4.1988;https://vk.com/id85256;
18292;Ж;19.2.1983;https://vk.com/id641649;
19424;Ж;21.1.1984;https://vk.com/id890851;
20173;Ж;30.5.1988;https://vk.com/id437552;
22006;Ж;19.3.1985;https://vk.com/id90692;
24968;Ж;21.6.1987;https://vk.com/id509235;
36967;Ж;19.8.1989;https://vk.com/id166458;
37873;Ж;29.11.1988;https://vk.com/id510062;
38778;Ж;9.1.1983;https://vk.com/id438962;
40404;Ж;23.7.1987;https://vk.com/id3101455;
43906;Ж;27.7.1986;https://vk.com/id1426986;
45055;Ж;21.12.1986;https://vk.com/id40089;
50153;Ж;3.9.1985;https://vk.com/id11369155;
51049;Ж;1.8.1989;https://vk.com/id18529806;
52069;Ж;10.5.1989;https://vk.com/id8372537;
54241;Ж;28.9.1987;https://vk.com/id170649246;
54662;Ж;11.5.1988;https://vk.com/id175056420;
67204;Ж;6.10.1987;https://vk.com/id218250398;
67965;Ж;29.4.1988;https://vk.com/id8725572;
70147;Ж;8.8.1989;https://vk.com/id2956143;
71186;Ж;30.9.1986;https://vk.com/id242230;
77885;Ж;29.9.1983;https://vk.com/id203846;
87433;Ж;5.3.1989;https://vk.com/id3341146;
89278;Ж;8.7.1984;https://vk.com/id926915;
89717;Ж;7.8.1984;https://vk.com/id15440421;
91376;Ж;6.9.1983;https://vk.com/id208497;
99945;Ж;12.12.1983;https://vk.com/id95127807;
107603;Ж;12.6.1987;https://vk.com/id18256123;
109050;Ж;4.4.1985;https://vk.com/id485668;
112030;Ж;5.9.1983;https://vk.com/id240786;
117569;Ж;17.5.1988;https://vk.com/id200518;
118112;Ж;23.3.1987;https://vk.com/id497141;
123704;Ж;31.5.1988;https://vk.com/id433034183;
127067;Ж;3.3.1986;https://vk.com/id40651;
137043;Ж;18.11.1990;https://vk.com/id496887;
145786;Ж;23.8.1985;https://vk.com/id2833886;
150292;Ж;1.6.1990;https://vk.com/id500894;
154271;Ж;1.2.1983;https://vk.com/id3217205;
161086;Ж;14.5.1986;https://vk.com/id914653;
164162;Ж;13.1.1987;https://vk.com/id189197;
167899;Ж;6.8.1984;https://vk.com/id143036347;
169923;Ж;18.6.1987;https://vk.com/id23283212;
173881;Ж;15.4.1989;https://vk.com/id3335733;
177338;Ж;15.5.1990;https://vk.com/id28565223;
179513;Ж;23.6.1987;https://vk.com/id956340;
192074;Ж;15.10.1986;https://vk.com/id193612;
192933;Ж;17.12.1980;https://vk.com/id860961;
200187;Ж;23.8.1978;https://vk.com/id199685;
